ID,Title,Collection Stage,Note,Brief_Description,Image,Link,Display,Spatial_Channel,Visceral_Channel,Source,Viewer_Locomotion_Mode,Mark_Moving_Mode,Body_Movement,Progress_Review,Shortcut,Anchor_Representation,Anchor_Space,Narrative,General_Startegies
C1,Wealth Shown To Scale,Initialization,/,"Scrollable long blocks, representing wealth of richests people in USA",C1,https://eattherichtextformat.github.io/1-pixel-wealth/,2D screens,"Length, Area","Effort, Time",Encounter Online,Stationary,Moving,Finger and hand,None,Speed Up,"Visual, Verbal","Physical, Data",Informative,Interactive panning
C2,8 Billion People In Perspective,Initialization,/,"A 3D animations where the camera moves through the entire world population as a huge
crowd assembled in a vast area",C2,https://www.youtube.com/watch?v=Sxejy6jd_zc,2D screens,Area,Time,Encounter Online,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",None,Animated panning
C3,"Risk, Cycling And Denominator Neglect",Initialization,Mark scanning is the visualization in the End,Scrollable cluster of blocks representing bike journeys,C3,https://www.gicentre.net/blog/2013/11/24/risk-cycling-and-denominator-neglect,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,None,Interactive panning
C4,Yale'S $32 Billion Endowment,Initialization,/,"A 200-meter-long strip painted on a street, comparing Yale University's $32 billion endowment to
its contributions to its home city of New Haven",C4,https://x.com/DavarianBaldwin/status/1388840756895526912,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C5,Des Dinosaures ? L'Homme (From Dinosaurs To Humans),Initialization,/,An animated timeline visualization of the universe in a monitor goes forward as the viewer turns the crank ,C5,https://www.fleurdepapier.com/realisations/2015/musee-de-l-homme/des-dinosaures-a-l-homme/,2D screens,Length,"Effort, Time",Museum and Exhibition,Stationary,Moving,Upper limb ,Counter,Speed Up,None,None,None,Interactive panning
C6,The Historical Cost Of Light,Initialization,/,Scrollable pixels representing the cost of light during different eras,C6,https://pudding.cool/2020/12/lighting-cost/,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C7,Hiking Path Of The Solar System,Initialization,/,A hiking trail featuring a scale model of the solar system where every meter corresponds to one million kilometers of actual distance.,C7,https://de.wikipedia.org/wiki/Planetenweg_Uetliberg#,Physical media,Length,"Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,Milestones,None,None,None,Informative,Walkable marks
C8,Trail Of Time,Initialization,/,Walkable path illustrating the time elapsed leading to the Great Canyon formation,C8,https://www.nps.gov/grca/planyourvisit/the-trail-of-time.htm,Physical media,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,Milestones,None,None,None,Informative,Walkable marks
C9,The Fallen Of World War Ii,Initialization,Mark scanning is the visualization at 9min15s,Video moving along vertical bars representing the number of death soldiers during World War II,C9,https://www.youtube.com/watch?v=DwKPFT-RioU&t=340s,2D screens,Length,None,Encounter Online,Stationary,Moving,None,None,Speed Up,None,None,Informative,Animated panning
C10,The Deep Sea,Initialization,/,A scrollable infographics showing how deep the sea is and animals living at different depth levels,C10,https://neal.fun/deep-sea/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,"Informative, Filler",Interactive panning
C11,The Actual Number Of Americans Jailed Or Imprisoned,Initialization,/,Scrollable pictograms representing the actual number of Americans imprisoned,C11,https://mkorostoff.github.io/incarceration-in-real-numbers/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Verbal,Data,Informative,Interactive panning
C12,A Virtual Reality 360 Experience Case From An Experiment,Initialization,The video is the ''Bar-Chart-Anchor-Condition" condition downloaded under the "experiment material'' tab of the website: https://immersivedatavideo.github.io/ .,Video of a bar charts representing tea production per country.,C12,"https://immersivedatavideo.github.io/
",VR displays,Length,Time,Related Work,Virtual locomotion,Still,None,None,Speed Up,Visual,Physical,None,Animated panning
C13,The Incredible Depth Of Earth Layers,Expansion,/,Animated video of a bar representing the depth of the Earth and its layers.,C13,https://www.youtube.com/watch?v=OzuKknkJt-I,2D screens,Length,Time,Encounter Online,Stationary,Moving,None,"Milestones, Counter","Speed Up, Jump",Visual,"Data, Physical",Informative,Mark building up
C14,All People On One Page,Initialization,/,Scrollable area covered in pictograms representing the current world population.,C14,https://www.worldometers.info/watch/world-population/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,None,None,None,Interactive panning
C15,Death In Syria,Initialization,Mark scanning is the visualization in the Beginning,Scrollable area covered in dots representing killed people during the syrian civil war.,C15,https://www.nytimes.com/interactive/2015/09/14/world/middleeast/syria-war-deaths.html,2D screens,Area,None,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,Informative,Interactive panning
C16,7 Billion People On 1 Page,Initialization,/,"Scrollable unit visualization where each icon represents an individual in the world, colored according to their continent of residence",C16,https://www.7billionworld.com/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,None,None,None,Interactive panning
C17,Du Papier Toilette (Oui Oui...),Initialization,/,Urolling a toilet paper roll to compare sizes of different digital media presented by the length of paper sheets ,C17,https://limitesnumeriques.fr/sensibiliser/Animated panning-numerique-responsable/demontage-conference,Physical media,Length,Time,Encounter Online,Physical locomotion,Moving,Full-body ,Compressed View,None,None,None,None,Mark building up
C18,All Of The World?S Money And Markets In One Visualization,Expansion,/,Scrollable visualization of squares representing world's money,C18,https://www.visualcapitalist.com/all-of-the-worlds-money-and-markets-in-one-visualization-2020/,2D screens,Area,Time,Encounter Online,Stationary,Moving,Finger and hand ,None,Speed Up,None,None,Informative,Interactive panning
C19,If The Moon Were One Pixel,Expansion,/,"Planets of the  solar system is laid out left-to-right, using a ?moon = 1 pixel? scale",C19,https://joshworth.com/dev/pixelspace/pixelspace_solarsystem.html,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,"Progress Bar, Counter, Milestones",Speed Up,Verbal,"Data, Physical","Informative, Filler",Interactive panning
C20,O C?culo De Uma Trag?ia (The Calculation Of A Tragedy),Expansion,/,COVID-19 deaths in Brazil as dots stacked by day over time,C20,https://www-nexojornal-com-br.translate.goog/especial/2020/08/08/100-mil-mortes-no-Brasil-o-c%C3%A1lculo-de-uma-trag%C3%A9dia?_x_tr_sl=auto&_x_tr_tl=en&_x_tr_hl=en&_x_tr_pto=wapp&_x_tr_hist=true,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,Milestones,Speed Up,"Visual, Verbal",Data,Informative,Interactive panning
C21,What If I Told You: You Eat 3496 Litres Of Water,Expansion,/,A long pictogram of 15400 bottles of water that people consume everyday,C21,https://thewaterweeat.com/,2D screens,Area,Time,Related Work,Stationary,Moving,Finger and hand ,Milestones,Speed Up,Visual,"Data, Physical",None,Interactive panning
C22,"500,000 Lives Lost",Expansion,/,"A large scrollable bee-swarm plot, showing COVID-19 deaths over time",C22,https://www.reuters.com/graphics/HEALTH-CORONAVIRUS/USA-CASUALTIES-CHRONOLOGY/xklpyomnrpg/,2D screens,Area,"Effort, Time",Related Work,Stationary,Moving,Finger and hand ,"Mini View, Counter, Milestones","Speed Up, Jump",Verbal,Data,Informative,Interactive panning
C23,Sea Level Rise By The Numbers,Expansion,/,"A long pictogram of Olympic-size swimming pools,  representing the 76.6 trillion gallons of metlwater due to climate change",C23,https://www.reuters.com/graphics/CLIMATECHANGE-GREENLAND-SEALEVELS/010080F60WR/,2D screens,Area,Time,Related Work,Stationary,Moving,Finger and hand ,None,Speed Up,Verbal,Data,Informative,Interactive panning
C24,Number Of Deaths In The WW2 Per Country,Expansion,/,A 3D animation where the camera moves through a series of 3D bars. ,C24,https://www.youtube.com/watch?v=7cgRwDkP6vk,2D screens,Volume,None,Encounter Online,Stationary,Moving,None,None,"Speed Up, Jump",Visual,Physical,None,Animated panning
C25,Us Debt Of $20 Trillion Visualized In Stacks Of Physical Cash,Expansion,/,A 3D animation where the camera moves through stacks of money representing US debt,C25,https://www.youtube.com/watch?v=XqUwr-Nkq9g,2D screens,"Length, Volume",Time,Encounter Online,Stationary,Moving,None,None,Speed Up,Visual,"Physical, Data",None,Animated panning
C26,Ocean Depth Comparison,Expansion,/,Video explaining how deep the ocean is by introducing several famous depth locations,C26,https://www.youtube.com/watch?v=Q5C7sqVe2Vg,2D screens,Length,Time,Related Work,Stationary,Moving,None,None,"Speed Up, Jump",Visual,"Physical, Data",Informative,Animated panning
C27,Turkey'S Toxic Dust,Expansion,/,Zoom-out animation of an area representing damaged buildings in Turkey after 2023 huge earthquake.,C27,https://www.reuters.com/graphics/TURKEY-QUAKE/TOXINS/znvnbmyrzvl/,2D screens,Area,None,Related Work,Stationary,Moving,Finger and hand ,None,Speed Up,Visual,Physical,Informative,Interactive panning
C28,Space Elevator,Expansion,/,Scrolling website presenting the layers of the atmopshere.,C28,https://neal.fun/space-elevator/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,"Milestones, Counter",Speed Up,None,None,"Informative, Filler",Interactive panning
C29,The Data Physicalization Of Wealth Shown To Scale,Expansion,/,Physical cubes present the wealth of normal and richest Americans,C29,https://www.youtube.com/watch?v=SktIkgYcFH0,Physical media,"Length, Volume","Effort, Time",Encounter Online,Physical locomotion,Still,Lower limb ,None,None,None,None,Informative,Walkable marks
C30,Climbingchart,Expansion,/,A bar chart displayed vertically across several floors of a building through AR,C30,https://hal.science/hal-05224602/document,AR displays,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C31,Walkingchart,Expansion,/,A bar chart displayed horizontally over several meters of a parking lot through AR,C31,https://hal.science/hal-05224602/document,AR displays,Length,"Effort, Time",Related Work,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C32,Augmented Reality Waste Data Representations,Expansion,Mark scanning is the beginning where trash bags fall down one by one at constant speed,A augmented-reality pile of trash bags.,C32,https://www.youtube.com/watch?v=c9EQ726EoUg,AR displays,Volume,Time,Related Work,Stationary,Moving,None,None,None,None,None,None,Mark building up
C33,Global Plastic Waste 1950-2019 - Data Visualization,Expansion,/,Plastic bottles accumulation between 1950 and 2019.,C33,https://www.youtube.com/watch?app=desktop&v=_IcJlX-lOzM,2D screens,Volume,Time,Encounter Online,Stationary,Moving,None,Counter,Speed Up,None,None,None,Mark building up
C34,The Search For Answers,Expansion,/,Scrolling visualization of plane wreckage at the bottomo of oceans ,C34,https://www.reuters.com/graphics/INDONESIA-CRASH/SEARCH/xegvbeywzpq/,2D screens,Length,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Milestones,Speed Up,Verbal,Data,Informative,Interactive panning
C35,Sizing Up Australia?S Bushfires,Expansion,/,Scrolling through squares representing burnt area after australian wildfire,C35,https://www.reuters.com/graphics/AUSTRALIA-BUSHFIRES-SCALE/0100B4VK2PN/,2D screens,Area,"Effort, Time",Encounter Online,Stationary,Moving,Finger and hand ,Counter,Speed Up,Visual,Data,Informative,Interactive panning
C36,Skyfall - Tracking The Asteroids That Menace Earth,Expansion,/,Scrolling through the Earth-Moon distance to understand how far past and future asteroids pass from the Earth,C36,https://www.reuters.com/graphics/SPACE-ASTEROIDS/zdpxdnrzrpx/,2D screens,Length,None,Encounter Online,Stationary,Moving,Finger and hand ,Milestones,Speed Up,Verbal,Data,Informative,Interactive panning
C37,Proxemics Interaction,Initialization,/,2D-screen visualization showing bar charts based on the distance between the screen and the viewer,C37,https://markscanning.github.io/#C37,2D screens,Length,"Effort, Time",Brainstorm,Physical locomotion,Moving,Lower limb ,None,None,None,None,None,Others
C38,Take An Elevator,Initialization,/,Viewers taking an elevator with a transparent window through which they can see a bar chart painted on the wall,C38,https://markscanning.github.io/#C38,Physical media,Length,Time,Brainstorm,Physical locomotion,Still,None,None,None,None,None,None,Vehicular motion
C39,Peephole Interaction,Initialization,/,Viewers using a phone as a peephole view through which the viewer can inspect the mark on a wall,C39,https://markscanning.github.io/#C39,2D screens,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Full-body ,None,None,None,None,None,Others
C40,Data Driven VR Roller Coaster,Initialization,/,"VR roller coaster trails consisting of concatenated stacks of 100-dollar bills, representing the wealth of the richest person in the world.",C40,https://markscanning.github.io/#C40,VR displays,Length,Time,Brainstorm,Virtual locomotion,Still,None,None,None,None,None,None,Vehicular motion
C41,VR Spaceship Traveling Through The Solar System,Initialization,/,VR trip accross the solar system to visualize distances between planets,C41,https://markscanning.github.io/#C41,VR displays,Length,Time,Brainstorm,Virtual locomotion,Still,Finger and hand ,None,None,None,None,None,Vehicular motion
C42,Comparing Wealth In Stacks Of 100-Dollar Bills In AR,Initialization,/,AR stacks of 100-dollar bills onto a street to compare the wealth of normal and the richest people.,C42,https://markscanning.github.io/#C42,AR displays,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C43,Tissue Paper Box,Initialization,/,Physical visualization of a tissues accumulation to visualize waste,C43,https://markscanning.github.io/#C43,Physical media,Volume,"Effort, Time",Brainstorm,Stationary,Moving,Upper limb ,Compressed View,None,None,None,None,Interactive panning
C44,VR Spaceship Circling The Earth Surrounding By Money,Initialization,/,"Viewers taking a virtual spaceship journey around
the Earth that is surrounded by stacks of 100-dollar bills representing the wealth of the richest person",C44,https://markscanning.github.io/#C44,VR displays,Length,Time,Brainstorm,Virtual locomotion,Still,Finger and hand ,None,None,None,None,None,Vehicular motion
C45,Biking Around The Planets In VR ,Initialization,/,Viewers riding a stationary bike to circle around down-scaled planets in virtual reality to compare their sizes,C45,https://markscanning.github.io/#C45,VR displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Lower limb ,None,None,None,None,None,Vehicular motion
C46,Queuing With All People In The World In VR,Initialization,/,"VR visualization of the world population all in a queue, moving forward each time an inhabitant quit the queue",C46,https://markscanning.github.io/#C46,VR displays,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Others
C47,Go Up Stairs And See The History,Initialization,/,"Vertical timeline representing humankind history accross several floors, requiring to climb stairs",C47,https://markscanning.github.io/#C47,Physical media,Length,"Effort, Time",Brainstorm,Physical locomotion,Still,Lower limb ,None,None,None,None,None,Walkable marks
C48,Escape From A Room Where Money Fall From The Sky,Initialization,/,Cumulative view of money filling a VR room,,https://markscanning.github.io/#C48,VR displays,Area,"Effort, Time",Brainstorm,Virtual locomotion,Moving,Full-body ,None,None,None,None,None,Others
C49,Data As Virtual Flow,Initialization,/,Flow getting through a VR room,,https://markscanning.github.io/#C49,AR displays,Volume,"Effort, Time",Brainstorm,Stationary,Moving,None,None,None,None,None,None,Mark building up
C50,Convey Belt,Expansion,/,Marks painted on a convey belt or physical marks carried by a convey belt,,https://markscanning.github.io/#C50,Physical media,Length,Time,Brainstorm,Stationary,Moving,None,None,None,None,None,None,Vehicular motion
C51,Marks On Streetcars,Expansion,/,"Marks painted on streetcars (e.g., trams) move in and out the field of viewers",C51,https://markscanning.github.io/#C51,Physical media,Length,"Effort, Time",Brainstorm,Stationary,Moving,None,None,None,None,None,None,Vehicular motion
C52,Dragon Dance,Expansion,/,Bar charts painted on traditionnal Chinese dragon-dancers,,https://markscanning.github.io/#C52,Physical media,Length,Time,Brainstorm,Stationary,Moving,None,None,None,None,None,None,Others
C53,Visualization Shown On The Screen Of A Treadmill,Expansion,/,Horizontal bar charts displayed on a 2D-screen moving forward by running on a treadmill,,https://markscanning.github.io/#C53,2D screens,Length,"Effort, Time",Brainstorm,Stationary,Moving,Full-body ,None,None,None,None,None,Interactive panning
C54,Moving Up An Elevator Through Fixed Pulleys In VR,Expansion,/,Vertical bar charts displayed outside a VR elevator going up by pulling up fixed pulleys,,https://markscanning.github.io/#C54,VR displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Upper limb ,None,None,None,None,None,"Vehicular motion, Interactive panning"
C55,Diving In VR,Expansion,/,An VR experience where viewers mimicing diving with a descend line to see how deep is sea,C55,https://markscanning.github.io/#C55,VR displays,Length,"Effort, Time",Brainstorm,Virtual locomotion,Still,Upper limb ,None,None,None,None,None,Interactive panning
